,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
4,1003689,Entire Apt: Spacious Studio/Loft by central park,92037596077,verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,False,moderate,Entire home/apt,2009.0,$204 ,$41 ,10.0,9.0,11/19/2018,0.1,3.0,1.0,289.0,"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house.",
72587,41091136,Central Park west. Big Cozy Room,19388079471,unconfirmed,Fernando,Manhattan,Upper West Side,40.79927,-73.96235,United States,US,True,moderate,Private room,2012.0,$709 ,$142 ,1.0,87.0,6/22/2019,1.88,4.0,2.0,263.0,,
21781,13030982,❤ of Manhattan | Fantastic 1 Bedroom,43427426473,unconfirmed,Kyle,Manhattan,Theater District,40.76321,-73.98356,United States,US,False,moderate,Entire home/apt,2007.0,$981 ,$196 ,30.0,0.0,,,4.0,23.0,364.0,"We live on the 3rd floor of a 3-family house, so please minimize noise for our neighbors, especially at night and when entering or exiting.  Our bedroom and office are not for guest use.",
45621,26197814,阳台大双人房 (queens size room with balcony ),27298749852,unconfirmed,Li,Queens,Flushing,40.76316,-73.80869,United States,US,False,strict,Private room,2006.0,"$1,026 ",$205 ,1.0,0.0,,,2.0,7.0,329.0,There is  light breakfast - cereal with milk that is served.,
24727,14658058,"Cozy, Bright, Bohemian Space in the East Village",49124834493,verified,Michael,Manhattan,East Village,40.73022,-73.98623,United States,US,True,strict,Entire home/apt,2014.0,$310 ,$62 ,5.0,2.0,8/27/2017,0.08,3.0,1.0,0.0,,
77484,43795749,Quiet and beautiful apartment near central park,36496408362,verified,Nicole,Manhattan,Upper East Side,40.76761,-73.95986,United States,US,False,moderate,Entire home/apt,2019.0,$930 ,$186 ,7.0,1.0,1/1/2017,0.03,2.0,1.0,0.0,"Please leave the apartment neat as you found it.  Put your sheets and towels in the hamper in the guest closet. If you've prepared food and there are leftovers, be sure to place them in the trash. Better yet, bring the trash and recyclable items downstairs and put them into the appropriate containers in the driveway out back.  Thank you, Deborah",
2958,2635039,Large sunny room queen bed &balcony,16404691633,unconfirmed,Amikole,Manhattan,Lower East Side,40.71906,-73.9845,United States,US,False,strict,Private room,2021.0,$412 ,$82 ,1.0,274.0,6/29/2019,3.94,2.0,1.0,276.0,"- NO PETS!  NO SMOKING ON PREMISES!  NO PARTY! No ""DRUGS""! - Keep the Place Clean at All Times! - Do Not Ask the ""Neighbors"" for anything.  Ask Me!-  - No Neighbors Interaction! - No ""Drugs"" Please!!! - No Noise! A printed house rule will be provided. Please be respectful to others when all rooms are booked.  10 AM Check-out and Check-in is between 12 PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You! Location Rules: The ""Exact Address Location Is Not Stockton St.  It Is 2 Streets Away.  It Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",
18247,11079154,Charming Bedroom in East Village,38598542895,unconfirmed,Emily Rose,Manhattan,East Village,40.73226,-73.98688,United States,US,False,strict,Private room,2018.0,$101 ,$20 ,5.0,4.0,2/25/2018,0.17,4.0,1.0,0.0,"Since I live in the apartment, I expect guests to respect the space and be quiet when coming in late.   No entertaining or overnight guests, please.",
50020,28627382,Dan's House - Studio near Empire State Building,81572634865,verified,Daniel,Manhattan,Midtown,40.7462,-73.9835,United States,US,False,strict,Entire home/apt,2020.0,$467 ,$93 ,5.0,18.0,3/1/2022,0.69,2.0,1.0,21.0,,
97943,55095255,Spacious Room in the heart of Manhattan,66472440856,verified,Mariluz,Manhattan,Midtown,40.74863,-73.98291,United States,US,True,flexible,Private room,2012.0,$632 ,$126 ,1.0,59.0,6/21/2019,6.04,4.0,3.0,0.0,,
41630,23993585,TIMES SQUARE!!! COZY PRIVATE ROOM  (for up to 3)!,36399161255,verified,Marccelo Gabriel,Manhattan,Theater District,40.76282,-73.98236,United States,US,False,moderate,Private room,2006.0,$559 ,$112 ,1.0,27.0,6/23/2019,5.79,2.0,1.0,94.0,"No pets/parties. Treat it like its your own place- actually no, if you treat your apartment poorly then don't treat it like it's yours! Lol. Just be as considerate as possible :)",
